Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2021-05-06,239.63084411621094,239.7555915648177,234.79466958308151,236.4834894146132,26491100
2021-05-07,242.2504119873047,244.0159980566037,241.0125719605132,241.95293622585686,27032900
2021-05-10,237.18392944335938,241.5499284512594,237.12635821135868,240.72470662857563,29299900
2021-05-11,236.2723846435547,236.6274316946523,232.7604072125957,234.66033134956947,33641600
2021-05-12,229.33474731445312,234.49718271340848,228.44236390313688,232.37654952810314,36684400
2021-05-13,233.20175170898438,235.66782673232748,231.65686027799902,232.02149758522427,29624300
2021-05-14,238.11473083496094,239.10307614273847,235.56231319136046,235.64867004930946,23901100
2021-05-17,235.26483154296875,236.6178141840923,233.67197362740927,236.57943823986372,24970200
2021-05-18,233.249755859375,236.44509117389674,233.07702751284302,236.31075341180204,20168000
2021-05-19,233.82681274414062,233.9326086171046,229.47959883359417,230.1624510972941,25739800
2021-05-20,237.05841064453125,238.47222174103342,234.53856364216657,234.63474705812368,21800700
2021-05-21,235.79844665527344,238.83766010110827,235.38489032383154,238.10671616214,21863100
2021-05-24,241.19400024414062,241.5594795417082,238.04899101242594,238.31828691309914,21411500
2021-05-25,242.0980987548828,243.08872621785105,241.2325067869294,242.14619045877527,17704300
2021-05-26,241.8769073486328,243.271478782269,241.1651882496709,241.81918849558588,17771600
2021-05-27,239.78021240234375,241.86726317029425,239.72250822888856,241.56911515709095,24426200
2021-05-28,240.13604736328125,242.44431686460024,240.0206390246495,241.40559779033563,18270200
2021-06-01,237.94320678710938,241.68451217113508,237.5200379764385,241.62680800038572,23213300
2021-06-02,237.84701538085938,239.7417137426011,236.4428170992417,238.64529057633396,19406700
2021-06-03,236.31781005859375,236.9237185044888,233.7113925974972,235.84653488909666,25307700
2021-06-04,241.20361328125,242.0307405997001,238.04899157263242,238.2894353899083,25281100
2021-06-07,244.1082000732422,244.3774959981243,240.2610986600382,240.42459870903608,23079200
2021-06-08,242.9156036376953,246.22411314134618,242.85788479009744,245.40659823560296,22455000
2021-06-09,243.89659118652344,245.76243758892673,243.53112655730328,244.10818292342645,17937600
2021-06-10,247.40701293945312,247.6186046317386,243.97348352468066,244.56977937992716,24563600
2021-06-11,248.03224182128906,248.609283510247,246.80114128203925,248.12839586874716,18999700
2021-06-14,249.95582580566406,250.01352998227475,246.98391395493297,248.04187277788913,19150500
2021-06-15,248.48419189453125,250.05188994784496,247.8301918940831,249.84029825934167,18038900
2021-06-16,247.541748046875,250.6194116030859,244.69488651031241,249.4845237170654,27220000
2021-06-17,250.9271697998047,251.74468467468952,246.22410384722616,246.28180801711895,27565500
2021-06-18,249.51336669921875,252.27365719884,248.85936651938206,249.70573350554895,37202200
2021-06-21,252.59104919433594,253.44701394017824,248.06109579519787,249.8884629766057,26696100
2021-06-22,255.36097717285156,255.63027309111683,252.36984063503186,252.67761578477896,24694100
2021-06-23,255.13014221191406,256.63050944325494,254.32225442204245,255.82262165338332,19518700
2021-06-24,256.4958190917969,257.61148179657937,255.3224522256505,255.9860794323836,21446900
2021-06-25,254.8897247314453,257.03449459793245,254.63968306773089,256.0534941839957,25611100
2021-06-28,258.4482727050781,258.6213852234761,255.74568632511017,256.0149822485252,19590000
2021-06-29,261.0258483886719,261.2662922485271,257.7365928224437,258.5925577009788,19937800
2021-06-30,260.5449523925781,260.98736086236244,259.29465610147,260.34298777501124,21656500
2021-07-01,261.21820068359375,261.4490173838746,259.29464991177207,259.3042477069135,16725300
2021-07-02,267.03692626953125,267.3735535200733,262.0837889720143,262.3915641354273,26458000
2021-07-06,267.0465087890625,268.6911361826912,263.81492881537,267.40236092120523,31565600
2021-07-07,269.2298278808594,269.96078670535366,266.55609297412514,268.7200880035307,23260000
2021-07-08,266.81573486328125,268.0756582442465,264.36319007014714,266.31559288844903,24618600
2021-07-09,267.3158874511719,267.42166866870554,264.7960403125206,265.18074464609816,23916700
2021-07-12,266.7195129394531,269.07584463447415,266.0077793129093,268.4891758346326,18931700
2021-07-13,270.2396240234375,272.03813906947397,266.7868543506358,266.9118604799698,26120100
2021-07-14,271.711181640625,272.8172174966731,269.82608069615287,271.5572940522361,23113700
2021-07-15,270.2877197265625,271.7111577808716,269.1335775905223,271.22064297039645,22604200
2021-07-16,270.0184020996094,273.2403550652202,268.77770380577266,271.28795247697474,26186800
2021-07-19,266.4213562011719,269.6529067683761,263.95921404966873,268.2679481392744,32935600
2021-07-20,268.64306640625,270.2299896780536,265.70003652732663,267.4023681314722,26259700
2021-07-21,270.6435852050781,270.75899355414396,266.69070249429734,268.23914676268924,24364300
2021-07-22,275.2024230957031,275.4717190297968,272.5863928711976,272.9903220968104,23384100
2021-07-23,278.59747314453125,278.90521894376,275.5486324297109,276.3853722718105,22768100
2021-07-26,278.0011291503906,278.6166794096968,275.68327658614254,277.9530521274675,23176100
2021-07-27,275.5871276855469,278.5109037300761,272.13435756738795,278.36664329219724,33604100
2021-07-28,275.2793273925781,279.0590972753007,272.98067033830415,277.943434405772,33566900
2021-07-29,275.5486145019531,277.5875733755724,275.1446559746078,275.2985435397369,18168300
2021-07-30,274.0193786621094,275.70248527997103,273.0576034519027,274.2694496090991,20944800
2021-08-02,273.9328308105469,275.8082749172966,272.8940971151015,275.4139435469008,16267400
2021-08-03,276.14495849609375,276.25076905660643,273.14422383185655,274.50995786548094,17879000
2021-08-04,275.5582580566406,276.59696249430243,273.76934068765456,275.27933499379344,16191300
2021-08-05,278.4532165527344,278.5590271143416,275.16396096408687,275.9141446379062,13900200
2021-08-06,278.3954772949219,278.4339565262084,276.62581421943787,277.48180834700514,16589300
2021-08-09,277.3086242675781,280.4055415160007,276.8085117411987,278.67435793533804,16117600
2021-08-10,275.4909362792969,278.1935226909762,274.2983442260447,277.7607120388484,18616600
2021-08-11,275.9814453125,277.62607292416914,274.9330843638876,276.23148694196493,13955900
2021-08-12,278.7321472167969,278.8860348144574,275.3947851546205,275.6737082598213,14561300
2021-08-13,281.6559143066406,281.70399133323906,278.24159423758465,278.41473610565794,18249000
2021-08-16,283.3389587402344,283.5505504425567,278.9340122149012,281.982852286857,22507600
2021-08-17,281.8770751953125,282.21370240044297,279.953524710054,281.21347728086533,20075300
2021-08-18,280.1521911621094,284.09337849264244,279.7089064692593,281.41452622415534,21813000
2021-08-19,285.97247314453125,286.6470164928712,278.13829528997536,278.1864643546096,29850500
2021-08-20,293.2863464355469,294.7125096493585,287.21557336643235,288.8151805177053,40817600
2021-08-23,293.56573486328125,294.2884471743219,290.86762066495834,292.21667776411977,22830200
2021-08-24,291.609619140625,294.5293759454758,291.0121816186196,293.9222928481988,18175800
2021-08-25,291.0218505859375,293.50796840478165,289.4897037639269,293.228511364618,20006100
2021-08-26,288.2081298828125,291.4266062950808,288.07323882974407,290.0389958241658,17666100
2021-08-27,288.81512451171875,289.92327755138285,286.0302588466658,288.1116739143192,22605700
2021-08-30,292.5442810058594,293.15136400495606,290.1063328429978,290.164147470794,16348100
2021-08-31,290.8966064453125,293.4212774277083,290.53042740378993,293.34420103292587,26285300
