Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2021-05-06,115.90950775146484,115.90950775146484,113.71216888819075,114.371219210084,25190000
2021-05-07,116.63253021240234,117.59061507127338,116.34639717350244,117.22563540770174,28898000
2021-05-10,113.648193359375,115.59460767080654,113.290644369783,115.45277455769148,30914000
2021-05-11,112.57258605957031,113.07939883944981,110.78039927471382,111.23415327092532,34186000
2021-05-12,109.11070251464844,111.47764498191353,108.78192267103177,110.39707540750636,46376000
2021-05-13,110.53840637207031,111.05414048585153,109.43154957142508,110.39359947423983,33204000
2021-05-14,112.98516845703125,113.2995712389846,111.5778017225358,112.00130340485505,31996000
2021-05-17,113.50786590576172,113.55051270106033,111.85105758223382,112.2507540019044,21598000
2021-05-18,112.19619750976562,114.43817329757108,112.18231233154226,114.17385549892235,22204000
2021-05-19,112.64398956298828,112.8170586512996,110.35987410043673,110.50814660767092,23684000
2021-05-20,114.40196990966797,114.65239495545593,113.24007185238473,113.61100662106799,32352000
2021-05-21,113.76622009277344,114.99407844296304,113.52669887961433,114.92067995406296,40632000
2021-05-24,117.08430480957031,117.30795076933327,114.65041840397706,114.79571714938808,31832000
2021-05-25,117.175048828125,118.22288412982375,116.78477317689254,117.62780399643341,22440000
2021-05-26,118.03990173339844,118.47034224534134,117.35307349417839,117.35604726795344,21572000
2021-05-27,117.16563415527344,118.47332287279623,116.84726630527486,118.47332287279623,35224000
2021-05-28,116.87651062011719,117.82963157956378,116.67815310319966,117.7478111847202,21482000
2021-06-01,118.08304595947266,118.3076907432192,116.74907000230994,117.74881041841671,23354000
2021-06-02,117.55789184570312,118.70094093106418,116.65385700275765,118.478278661861,21158000
2021-06-03,116.41681671142578,116.88494774617168,115.52121891925472,116.3250761646754,18696000
2021-06-04,118.69745635986328,118.96822109902912,117.15222909034824,117.49241971560096,24458000
2021-06-07,119.13037872314453,119.23997703743203,118.07411399726047,118.49265182934205,24120000
2021-06-08,118.93897247314453,119.98433347180782,118.75747389251524,119.61191557625074,24240000
2021-06-09,119.41007995605469,119.65504930518125,118.86260289582098,119.58314905326921,17942000
2021-06-10,120.75843811035156,120.80158431684347,119.20378994220064,119.35950068179913,25904000
2021-06-11,120.51396179199219,121.08523664008776,119.95656455587336,120.999943051101,21958000
2021-06-14,121.44178771972656,121.44227956527116,119.90895486343989,120.61610768688743,22098000
2021-06-15,120.42420196533203,121.76908177598153,120.06367916664863,121.44624948123858,21562000
